星官,Bayer 編號,DEJ2000 (度),Flamsteed,HIP,RAJ2000 (度),Star 1,Star 2,Vmag (視星等),序號,星點,英文星名
霹靂,,10.94732,82 Peg,117730,358.154602,82 Peg飛馬,82 Peg,5.300000191,1862,霹靂增六,
紫微左垣,β Cep,70.560716,8 Cep,106032,322.164988,"8,β Cep仙王","8,β Cep",3.230000019,132,上衛增一,
胃宿,,28.642674,10 Tri,10793,34.737472,10 Tri三角,10 Tri,5.289999962,2095,胃宿增一,
天津,,26.461947,27 Vul,101716,309.269472,27 Vul狐狸,27 Vul,5.590000153,1402,天津增廿,
東咸,φ Oph,-16.612733,8 Oph,80894,247.784866,"8,φ Oph蛇夫","8,φ Oph",4.29,1031,東咸一,
天船,c Per,47.712513,48 Per,19343,62.165378,"48,c Per英仙","48,c Per",3.96,2135,天船六,
天棓,γ Dra,51.488895,33 Dra,87833,269.151541,"33,γ Dra天龍","33,γ Dra",2.24,333,天棓四,Etamin
北極,,75.695993,5 UMi,70692,216.88143,5 UMi小熊,5 UMi,4.25,3,三 庶子,
羽林軍,h Aqr,-7.693801,83 Aqr,113996,346.290782,"83,h Aqr寶瓶","83,h Aqr",5.44,1792,羽林軍四二,
六甲,,81.194088,,23265,75.086336,,,5.09,77,六甲五,
參旗,π5 Ori,2.440672,8 Ori,22797,73.562902,"8,π5 Ori獵戶","8,π5 Ori",3.710000038,2437,參旗增十二,
奎宿,,41.345157,39 And,4903,15.726095,39 And仙女,39 And,5.949999809,1915,奎宿增廿,
人,,17.285851,13 Peg,107788,327.536249,13 Peg飛馬,13 Peg,5.340000153,1569,人增四,
長垣,,4.747669,35 Sex六,52452,160.837166,35 Sex六分儀,35 Sex六,5.769999981,496,長垣增七,
天市左垣,,24.499435,70 Her,84887,260.225858,70 Her武仙,70 Her,5.130000114,668,魏增六,
天市左垣,α Vul,24.664905,6 Vul,95771,292.176374,"6,α Vul狐狸","6,α Vul",4.440000057,686,齊增五,
內階,A UMa,65.14517,2 UMa,42080,128.650508,"2,A UMa大熊","2,A UMa",5.46999979,260,內階增八,
軒轅,,6.835802,10 Leo,47205,144.30278,10 Leo獅子,10 Leo,5,3005,軒轅增四五,
氐宿,ζ4 Lib,-16.852844,35 Lib,76126,233.230088,"35,ζ4 Lib天秤","35,ζ4 Lib",5.53000021,945,氐宿增十四,
右旗,,4.834795,22 Aql,94727,289.129298,22 Aql天鷹,22 Aql,5.590000153,1244,右旗增一,
異雀,δ1 Aps,-78.695745,,80047,245.08669,δ1 Aps天燕,δ1 Aps,4.68,3131,異雀六,
小斗,,-77.634109,,36982,114.017491,,,6.72,3245,小斗九,
天桴,,-0.709309,62 Aql,98844,301.096466,62 Aql天鷹,62 Aql,5.67,1218,天桴二,
王良,,61.533186,,1354,4.237681,,,5.739999771,1934,王良增十一,
