HIP,中文星名,英文星名
28499,五車增十五,
28561,司怪增二,
28574,參宿增卅一,
28614,參宿增十八,
28677,五車增十,
28691,司怪增四,
28716,司怪三,
28734,司怪二,
28812,參宿增十九,
28814,參宿增廿,
28816,廁增四,
28823,五車增十一,
28910,廁增五,
28946,五車增九,
29034,孫二,
29038,水府一,
29048,廁增三,
29118,參宿增卅,
29134,金魚五,
29246,八穀增十九,
29388,五車增十四,
29426,水府二,
29433,司怪增五,
29434,水府四,
29490,上衛增一,
29650,司怪增六,
29651,參宿增廿八,
29655,鉞,Propus
29696,井宿增一,
29704,水府三,
29730,八穀增廿,
29736,水府增六,
29800,水府增七,
29807,孫一,
29840,鉞增一,
29850,水府增八,
29884,五車增十三,
29885,參宿增廿九,
29919,八穀增廿一,
29949,五車增十二,
29997,上衛增二,
30060,八穀增廿六,
30073,參宿增廿七,
30089,,Red Rectangle
30122,孫增一,Furud
30247,八穀增卅四,
30272,八穀增廿五,
30277,孫增三/孫增四,
30278,八穀增廿二,
30324,軍市一,Mirzam
30343,井宿一,Tejat
30419,四瀆四,
30438,老人,Canopus
30473,四瀆增四*,
30520,座旗增一,
30679,八穀增廿七,
30700,參宿增廿四,
30717,四瀆增五,
30720,四瀆增六,
30772,參宿增廿五,
30788,孫增二,
30827,井宿增二,
30867,參宿增廿六,
30883,井宿二,
30972,座旗增二,
31039,八穀增廿八,
31125,軍市六,
31149,四瀆增七,
31159,四瀆增三,
31216,四瀆三,
31385,四瀆增八,
31404,井宿增九,
31416,軍市增二,
31434,井宿增六,
31525,井宿增八,
31526,八穀增卅三,
31564,軍市增一,
31592,野雞,
31665,八穀增卅二,
31676,八穀增廿三,
31681,井宿三,Alhena
31685,老人增二,
31700,軍市二,
31737,井宿增三,
31763,八穀增廿四,
31771,座旗八,
31789,座旗七,
31832,座旗五,
31852,井宿增五,
31978,四瀆增一,
32104,井宿增七,
32173,座旗三,
32246,井宿五,Mebsuta
32249,井宿增十/井宿增十八▂,
32292,弧矢增一,
32311,井宿增四,
32349,天狼,Sirius
32362,井宿四/井宿增十九▂,
32404,井宿增十一,
32439,六甲一,
32463,四瀆增二,
32480,座旗四,
32489,八穀增卅一,
32492,天狼增一,
32504,軍市增三,
32533,四瀆二,
32562,座旗一,
32578,闕丘一,
32607,金魚增一,
32759,弧矢八,
32768,老人增一,
32814,井宿增十二,
32844,座旗六,
32864,上衛增三,
32921,井宿六,
33018,五諸侯一,
33041,座旗九,
33048,八穀增廿九,
33064,座旗增三,
33092,軍市三,
33104,紫微右垣五 上衛,
33133,座旗增四,
33152,軍市五,
33160,天狼增二/天狼增六,
33202,井宿增十三,
33248,軍市四,
33277,天樽增一,
33302,軍市增四/軍市增六▂/軍市增七▂,
33345,天狼增三,
33347,天狼增五,
33449,八穀增卅,
33485,座旗二,
33579,弧矢七,Adhara
33614,座旗增五,
33650,天樽增二,
33694,六甲二,
33715,井宿增十四,
33856,弧矢增二,
33927,天樽三,
33971,闕丘增四,
33977,軍市增五,
34033,四瀆一,
34045,天狼增四,Muliphein
34088,井宿七,Mekbuda
34182,天樽增六,
34360,弧矢增廿五,
34440,井宿增十五,
34444,弧矢一,Wezen
34481,飛魚二,
34579,弧矢增廿六,
34622,闕丘增五,
34693,五諸侯二/五諸侯增六,
34722,天樽增三,
34724,闕丘二,
34752,座旗增六,
34769,闕丘增三,
34798,弧矢增五,
34819,天樽增五,
34858,井宿增十六,
34904,闕丘增二,
34909,井宿增十七,
34981,弧矢增四,
35025,天樽增四,
35037,弧矢增三,
35080,闕丘增一,
35146,內階增二,
35228,飛魚五,
35264,弧矢九,
35341,座旗增七,
35350,井宿八,
35412,弧矢增七,
35415,弧矢增六,
35488,,Bernes 135
35550,天樽二,Wasat
35699,天樽增七,
35710,積水,
35731,座旗增十一,
35785,內階增一,
35846,天樽一,
35904,弧矢二,Aludra
35907,座旗增八,
35941,五諸侯增一,
35987,水位增一,
36041,南河一,
36046,五諸侯三,
36145,座旗增九,
36156,天樽增八,
36188,南河二,Gomeisa
36208,,Luyten's Star
36238,天樽增九,
36265,南河增二,
36284,南河增一,
36366,北河一,
36377,弧矢增廿四,
36393,五諸侯增二/五諸侯增四,
36425,水位一,
36429,五諸侯增三/五諸侯增五,
36439,座旗增十,
36547,六甲四,
36631,水位增十二,
36641,南河增五,
36723,南河增四,
36760,水位增二,
36787,弧矢增廿八,
36812,南河增三,
36848,弧矢增廿七,
36850,北河二,Castor
36962,五諸侯四,
36982,小斗九,
37088,闕丘增六,
37204,北河增一,
37229,弧矢六,
37265,北河增二,
37279,南河三,Procyon
37297,弧矢增廿,
37300,水位增三,
37391,勾陳增四,
37447,闕丘增七,
37504,飛魚六,
37561,南河增十一▅,
37590,弧矢增十八,
37609,內階增三,
37629,北河增四,
37677,弧矢增十九,
37704,積薪增一,
37740,積薪,
37819,弧矢三,
37826,北河三,Pollux
37843,弧矢增八,
37891,弧矢增九,
37908,水位增四,
37915,弧矢增卅,
37921,水位二,
37951,弧矢增廿九,
38016,北河增三,
38048,弧矢增十,
38070,弧矢五,
38106,積薪增二,
38170,弧矢增十七,
38196,水位增十*,
38211,弧矢增十二,
38373,南河增六,
38414,弧矢增廿三,
38427,弧矢增十一,
38455,弧矢增廿一,
38495,積薪增三,
