color_index,DEC,HIP no.,RA,mag,恆星視差
A5V,20.4183787006,23871,76.951658257,5.28,0.118
F5III,9.1224912272,91217,279.115968316,5.38,0.387
M3III,15.2633797282,69829,214.3685495228,5.84,1.678
A7IV,40.4255599036,51658,158.3078681473,4.72,0.222
F0III,61.2228008031,124,0.4042312331,5.58,0.407
F7IV,-42.2328912872,64332,197.7870026472,5.78,0.521
F5V,-0.2689230929,18859,60.653103844,5.38,0.516
K0III,-60.1640562254,87393,267.897798296,5.78,1.008
F9Ia,-50.068121865,79790,244.2538894979,4.97,0.788
Am,-66.3960765372,44382,135.611649609,4,0.145
F2IV,-74.0316118962,50954,156.0987763206,3.99,0.369
F0V,13.5343252765,71759,220.1766360389,5.93,0.238
K0III,-46.1334390669,71500,219.3339708948,5.39,0.927
A2Vann,-14.8219500381,27288,86.7389199691,3.55,0.104
K2IIIvar,-3.0742535357,28413,90.013955902,4.53,1.202
B2V,-31.0705227033,32292,101.1186121535,5.23,-0.127
G8III,2.1965091469,77578,237.5731122851,5.21,1.019
G2V,30.2878121951,75312,230.8012968527,4.99,0.577
M1III,-2.9444927106,30093,94.9983338092,4.91,1.613
O9e,-41.2305339494,82493,252.8905105175,5.23,0.047
K4III,8.0372539922,32533,101.8326273781,4.77,1.396
K1III,14.9415067312,45410,138.8077199767,5.36,1.319
K5III,-81.2890630544,101843,309.5775303292,5.89,1.692
K0III,7.8901354627,4906,15.7358684485,4.27,0.952
A9/F0III,-19.0327629957,33077,103.3283866797,5.65,0.279
F7Vvar,72.7328430242,89937,275.2640944386,3.55,0.489
B3III,-26.3525067151,34981,108.5633839422,4.42,-0.17
A0V,-36.8323048002,7941,25.5124742739,5.7,-0.01
A9IV:,43.2976869223,7825,25.1652058849,5.63,0.214
M2III,36.09309993,53726,164.8866143004,5.99,1.595
B9V,-32.7162545675,31362,98.6472132565,5.62,-0.085
F6V,-16.1986015283,64407,198.0147626398,5.04,0.46
G2Ib,-2.9837859449,39863,122.1485327556,4.36,0.97
B5Iab,32.1920216778,25984,83.1819706415,4.71,0.281
K1III,-31.8089049912,35957,111.1827230394,5.35,1.071
K0III,-12.5798967056,873,2.678477772,5.84,1
G8/K0III,-54.9710258012,97816,298.1571789517,5.76,0.915
K2III,-10.1822642183,5364,17.1474649017,3.46,1.161
G8III,-32.4058976686,13147,42.2725814769,4.45,0.981
K4III,18.4332126119,82802,253.8423636275,5.35,1.407
F2II-III,-78.9892444967,14521,46.8839263846,5.67,0.298
B3V,11.1432938908,17771,57.0677867526,5.08,-0.125
K2III,-11.2865996435,16142,52.0039467418,5.74,1.102
A1V,56.3824267864,53910,165.4603199941,2.34,0.033
K0II-III,25.3840583863,97402,296.9522535622,6,0.993
K0III,18.4098015256,56146,172.6209615507,5.54,1.056
M4IIIa,59.755023285,79804,244.3139440211,5.37,1.551
K1III,-42.2943679226,19747,63.5004764455,3.85,1.085
A4IIIn,49.4647556935,35384,109.6332409339,5,0.087
B2.5Vn,-44.110256109,90200,276.0760072075,5.24,-0.163
B9p,29.0904319904,677,2.0969107134,2.07,-0.038
A2V,36.8063023061,99770,303.633470449,4.93,0.151
G8III-IV+..,8.0320064382,90313,276.4116618123,5.64,0.884
B8III,-25.0109140514,91974,281.2066765647,5.82,0.033
K1III,-43.5165958591,10035,32.2887189232,5.84,1.197
F1IV,-43.9885439039,102693,312.1214253531,5.11,0.361
B9V,-52.3726946569,76618,234.7061339448,5.43,0.005
A1V,21.0444412126,15110,48.7254004751,4.87,-0.007
M1III,11.6245395264,109471,332.6559685284,5.78,1.617
K0,48.3967621541,50546,154.861617751,6,1.022
G9III,3.6854466122,8404,27.1084103156,5.91,0.97
K5III,-10.3266636354,36396,112.3421112348,5.75,1.616
B9IVn,44.3339316763,116805,355.1021172536,4.15,-0.071
A4V,-8.5475759057,79387,243.0304812642,5.43,0.118
K0III,-18.9529080111,94820,289.4086641127,4.88,1.013
F8IV,25.9354713209,9621,30.9139330886,5.64,0.537
F4V,77.5139727918,81854,250.7762039887,5.99,0.43
A3Vn,15.3604491292,25790,82.6090215324,5.93,0.103
K1IIICN...,-66.961823525,56287,173.0833179189,5.89,1.136
M5IIb,0.109308731,117887,358.6942640172,5.78,1.466
A9IV,-31.8718313487,46734,142.8839953492,5.91,0.258
G5II comp,40.4836714886,19811,63.7221567214,4.67,1.007
G9III,-41.1667645761,10440,33.633106357,5.91,0.965
K5III,33.4378912375,103145,313.4745504295,5.47,1.522
K5III,-1.4702533468,26108,83.5168645512,5.92,1.535
F7.5Ib-IIv,31.1846568019,104185,316.6260183975,5.77,0.554
B3IV,-41.2316046207,59232,182.2274530556,5.51,-0.097
K0III,75.4725084887,63340,194.6972236075,6,1.03
