key_hip,DEC,HIP,RA,Stellar_parallax,color_index,mag
49485_hip,-47.36999485,49485,151.5467162,0.88,K0IV,5.06
35025_hip,24.88498433,35025,108.6749161,1.554,M1IIIvar,5.84
87234_hip,76.9628807,87234,267.3626393,0.518,F6IV-Vs,5.02
7751_hip,-56.19640017,7751,24.94809594,0.88,K0V,5.76
96465_hip,-24.883623,96465,294.1768051,-0.075,B8/B9V,4.59
48926_hip,-35.89097265,48926,149.7178147,0.3,A8IV,5.23
114273_hip,2.127882886,114273,347.170506,0.908,G8IV,5.42
95865_hip,-26.98561504,95865,292.4674455,1.12,K1/K2III,5.46
93717_hip,-4.031420019,93717,286.2402986,1.12,K1III,5.4
80054_hip,-55.13970611,80054,245.1052109,0.97,G6III,5.76
13834_hip,20.66873326,13834,44.52175646,0.415,F5IV,5.8
37891_hip,-14.563805,37891,116.4869584,0.342,F2V,5.03
82273_hip,-69.02771504,82273,252.1662286,1.447,K2IIb-IIIa,1.91
84835_hip,46.24077993,84835,260.0880074,1.586,M0III,5.51
36848_hip,-27.01227499,36848,113.6449785,1.045,K1III,5.78
26634_hip,-34.07410786,26634,84.91224946,-0.12,B7IV,2.65
112731_hip,55.90277673,112731,342.4429808,1.167,K1III,5.43
64792_hip,9.424156506,64792,199.1938149,0.585,G0Vs,5.19
9007_hip,-51.60889586,9007,28.98946829,0.844,G5IV,3.69
46701_hip,-57.03437682,46701,142.8054952,1.538,K5III,3.16
42134_hip,-58.00922835,42134,128.8321145,0.981,K0III,4.84
36528_hip,68.46562083,36528,112.7195659,1.1,K2III,5.63
43721_hip,30.57911508,43721,133.5613796,1.05,G7III,5.4
20400_hip,14.0771985,20400,65.51465927,0.315,A3m,5.72
41822_hip,18.09442038,41822,127.8988753,1.567,K5III,5.33
98624_hip,-66.94396609,98624,300.4685891,1.218,K2IVCN...,5.32
61658_hip,1.854662098,61658,189.5933569,1.592,M3III,5.68
17959_hip,71.33226569,17959,57.5896213,0.064,A2IVn,4.59
106787_hip,19.31860745,106787,324.4392911,0.321,F1IV,5.46
61571_hip,17.08953595,61571,189.2430513,1.436,K5III,5.7
96459_hip,44.69493598,96459,294.1582377,0.928,K0III,5.17
88839_hip,-28.45709305,88839,272.0207476,0.938,K0IIICNpvar,4.55
77859_hip,-23.97809446,77859,238.4827661,-0.033,B2V,5.41
51821_hip,-39.5625887,51821,158.8035447,3.015,C,5.5
6193_hip,27.26405858,6193,19.86664622,0.032,A3V,4.74
34561_hip,-16.23450903,34561,107.3890203,0.04,B1Ib/II,6
5336_hip,54.92033969,5336,17.06830755,0.704,G5Vp,5.17
2353_hip,-3.957331887,2353,7.509824527,1.545,M0III,5.72
69068_hip,49.45816711,69068,212.0720942,1.637,M2III,5.26
31299_hip,-36.23202924,31299,98.45616772,1.419,K3III,5.42
17203_hip,37.58019786,17203,55.28274194,-0.062,B7Vn,5.55
28909_hip,-66.03962084,28909,91.53909025,-0.024,A0V,5.72
116264_hip,22.49877472,116264,353.3670572,1.481,M5IIIa,5.33
25281_hip,-2.397146242,25281,81.11923643,-0.24,B1V + B2,3.35
89908_hip,71.33781433,89908,275.1892934,-0.093,A0p (Si),4.22
10035_hip,-43.51659586,10035,32.28871892,1.197,K1III,5.84
49065_hip,-82.21467008,49065,150.1824513,0.035,A0IV,5.53
4422_hip,59.18105564,4422,14.1662713,0.957,G8III-IV,4.62
117500_hip,28.84238892,117500,357.4141429,0.187,A2m,5.95
9095_hip,-47.38527732,9095,29.29200196,0.864,G8III,4.82
63117_hip,-56.83580619,63117,193.9880595,0.01,O9Ib,5.34
37391_hip,87.02009108,37391,115.1270475,1.604,M2III,5.05
92761_hip,-22.74483405,92761,283.5424047,1.412,K1II,4.86
84177_hip,10.58516767,84177,258.1158723,1.593,M2III,5.32
61420_hip,21.8813839,61420,188.7840318,1.242,K1III,5.86
76628_hip,-19.30189199,76628,234.7273306,0.883,G8III/IV,5.36
18141_hip,-5.361258927,18141,58.1735664,-0.09,B8+...,5.48
76569_hip,-21.01632655,76569,234.5678414,1.077,K0III,5.82
61720_hip,-30.4223871,61720,189.7644103,1.207,K2/K3III,5.86
86614_hip,72.14884347,86614,265.4848236,0.434,F5IV-V,4.57
102724_hip,46.11413444,102724,312.2345456,0.571,B3Ia,4.81
